t_M7,tau_M7,v_mag_M7,a_mag_M7,t_preM7,tau_preM7,v_mag_preM7,a_mag_preM7
6.556920363000001,0.7210000000000001,0.1072740148778694,0.05161915830829431,4.3260000000000005,0.7210000000000001,0.1625952779873941,0.11858717039548541
6.566014566000001,0.7220000000000001,0.1068074262493743,0.05173737055477774,4.332,0.722,0.16188806936988975,0.1188587450641938
6.575108769,0.723,0.10633975543944019,0.05185407890119908,4.338,0.723,0.16117922048943722,0.11912686475109313
6.584202972,0.724,0.10587101635152772,0.051969276169034205,4.344,0.7240000000000001,0.1604687524195183,0.11939151296461657
6.593297175,0.725,0.10540122295278989,0.05208295518272475,4.3500000000000005,0.7250000000000001,0.15975668633015463,0.11965267322000823
6.602391378,0.726,0.10493038927407952,0.052195108769613315,4.356,0.726,0.15904304348791695,0.11991032903917878
6.611485581,0.727,0.10445852940996292,0.05230572975988329,4.362,0.727,0.1583278452559455,0.12016446395056413
6.620579784,0.728,0.10398565751872951,0.05241481098650077,4.368,0.7280000000000001,0.1576111130939666,0.12041506148899342
6.629673987,0.729,0.10351178782240128,0.05252234528515813,4.374,0.729,0.15689286855830753,0.12066210519555796
6.63876819,0.73,0.10303693460674619,0.05262832549422006,4.38,0.73,0.15617313330191254,0.12090557861749009
6.6478623930000005,0.731,0.10256111222128605,0.052732744454672395,4.386,0.731,0.1554519290743594,0.12114546530804257
6.656956596000001,0.7320000000000001,0.10208433507930928,0.05283559501007341,4.392,0.7320000000000001,0.1547292777218766,0.12138174882637823
6.666050799000001,0.7330000000000001,0.10160661765787865,0.05293687000650535,4.398,0.733,0.154005201187356,0.12161441273745831
6.675145002,0.734,0.1011279744978454,0.05303656229252966,4.404,0.734,0.1532797215103715,0.12184344061194011
6.684239205,0.735,0.10064842020385556,0.05313466471914495,4.41,0.735,0.15255286082719402,0.12206881602607907
6.693333408,0.736,0.10016796944436292,0.053231170139744266,4.416,0.7360000000000001,0.1518246413708056,0.12229052256163267
6.702427611,0.737,0.09968663695163824,0.053326071410078085,4.422,0.737,0.15109508547091655,0.122508543805772
6.711521814,0.738,0.09920443752177863,0.05341936138821467,4.428,0.738,0.1503642155539786,0.1227228633509959
6.720616017,0.739,0.09872138601471894,0.0535110329345071,4.434,0.739,0.14963205414320252,0.12293346479505027
6.72971022,0.74,0.09823749735424063,0.05360107891155796,4.44,0.7400000000000001,0.148898623858571,0.1231403317408497
6.738804423,0.741,0.09775278652798156,0.05368949218419013,4.446,0.741,0.1481639474168549,0.12334344779640838
6.7478986260000005,0.742,0.09726726858744646,0.05377626561941426,4.452,0.742,0.14742804763162687,0.12354279657476824
6.7569928290000005,0.743,0.0967809586480164,0.05386139208640259,4.458,0.743,0.14669094741327782,0.12373836169393623
6.766087032000001,0.744,0.09629387188895727,0.053944864456462786,4.464,0.7440000000000001,0.1459526697690285,0.12393012677682491
6.775181235000001,0.7450000000000001,0.09580602355343021,0.05402667560301265,4.47,0.745,0.1452132378029457,0.12411807545119499
6.784275438,0.746,0.09531742894850102,0.05410681840155729,4.476,0.746,0.14447267471595746,0.12430219134960323
6.793369641,0.747,0.09482810344514933,0.05418528572966896,4.482,0.747,0.14373100380586457,0.12448245810935321
6.802463844,0.748,0.09433806247827754,0.05426207046696665,4.488,0.7480000000000001,0.1429882484673565,0.12465885937245211
6.811558047,0.749,0.09384732154671982,0.054337165495098885,4.494,0.749,0.14224443219202398,0.12483137878556987
6.82065225,0.75,0.09335589621325142,0.05441056369772722,4.5,0.75,0.1414995785683733,0.12500000000000006
6.829746453,0.751,0.09286380210459715,0.05448225796051135,4.506,0.751,0.14075371128183897,0.12516470667162735
