t_s,e_ee_pos_mm,tau_q_max_Nm
6.080000,3.816870,0.576432
6.090000,3.817150,0.575718
6.100000,3.817164,0.574952
6.110000,3.816916,0.574132
6.120000,3.816408,0.573259
6.130000,3.815642,0.572331
6.140000,3.814621,0.571349
6.150000,3.813348,0.571489
6.160000,3.811826,0.572104
6.170000,3.810059,0.572682
6.180000,3.808049,0.573221
6.190000,3.805800,0.573723
6.200000,3.803315,0.574186
6.210000,3.800597,0.574611
6.220000,3.797650,0.574998
6.230000,3.794478,0.575347
6.240000,3.791085,0.575658
6.250000,3.787474,0.575930
6.260000,3.783648,0.576164
6.270000,3.779613,0.576360
6.280000,3.775372,0.576518
6.290000,3.770929,0.576637
6.300000,3.766289,0.576717
6.310000,3.761455,0.576760
6.320000,3.756432,0.576764
6.330000,3.751224,0.576729
6.340000,3.745837,0.576656
6.350000,3.740273,0.576544
6.360000,3.734539,0.576393
6.370000,3.728638,0.576204
6.380000,3.722575,0.575976
6.390000,3.716355,0.575710
6.400000,3.709983,0.575404
6.410000,3.703464,0.575060
6.420000,3.696801,0.574677
6.430000,3.690002,0.574256
6.440000,3.683069,0.573795
6.450000,3.676009,0.573295
6.460000,3.668826,0.572756
6.470000,3.661525,0.572178
6.480000,3.654111,0.571561
6.490000,3.646590,0.570905
6.500000,3.638967,0.570210
6.510000,3.631245,0.569475
6.520000,3.623432,0.568701
6.530000,3.615531,0.567887
6.540000,3.607549,0.567034
6.550000,3.599489,0.566142
6.560000,3.591357,0.565210
6.570000,3.583158,0.564238
6.580000,3.574898,0.563226
6.590000,3.566581,0.562175
6.600000,3.558212,0.561083
6.610000,3.549797,0.559952
6.620000,3.541340,0.558781
6.630000,3.532846,0.557569
6.640000,3.524320,0.556317
6.650000,3.515768,0.555025
6.660000,3.507193,0.553693
6.670000,3.498601,0.552320
6.680000,3.489996,0.550906
6.690000,3.481383,0.549451
6.700000,3.472767,0.547956
6.710000,3.464152,0.546420
6.720000,3.455543,0.544843
6.730000,3.446944,0.543225
6.740000,3.438360,0.541565
6.750000,3.429794,0.539864
6.760000,3.421251,0.538122
6.770000,3.412735,0.536338
6.780000,3.404251,0.534512
6.790000,3.395802,0.532644
6.800000,3.387391,0.530735
6.810000,3.379024,0.528783
6.820000,3.370703,0.526789
6.830000,3.362432,0.524753
6.840000,3.354215,0.522674
6.850000,3.346055,0.520553
6.860000,3.337955,0.518389
6.870000,3.329919,0.516182
6.880000,3.321949,0.513932
6.890000,3.314050,0.511639
6.900000,3.306223,0.509302
6.910000,3.298472,0.506922
6.920000,3.290799,0.504499
6.930000,3.283207,0.502031
6.940000,3.275699,0.499520
6.950000,3.268277,0.496964
6.960000,3.260943,0.494364
6.970000,3.253700,0.491720
6.980000,3.246549,0.489031
6.990000,3.239494,0.486298
7.000000,3.232535,0.483519
7.010000,3.225675,0.480696
7.020000,3.218916,0.477827
7.030000,3.212259,0.474913
7.040000,3.205707,0.471954
7.050000,3.199260,0.468948
7.060000,3.192920,0.465897
7.070000,3.186689,0.462800
7.080000,3.180567,0.459656
7.090000,3.174557,0.456466
7.100000,3.168660,0.453229
7.110000,3.162877,0.449946
7.120000,3.157208,0.446616
7.130000,3.151656,0.443238
7.140000,3.146220,0.439814
7.150000,3.140904,0.436342
7.160000,3.135706,0.432822
7.170000,3.130629,0.429254
7.180000,3.125673,0.425639
7.190000,3.120839,0.421975
7.200000,3.116128,0.418263
7.210000,3.111542,0.414502
7.220000,3.107081,0.410693
7.230000,3.102746,0.406835
7.240000,3.098539,0.402927
7.250000,3.094460,0.398971
7.260000,3.090510,0.394965
7.270000,3.086691,0.390909
7.280000,3.083003,0.386804
