t_s,e_ee_pos_mm,tau_q_max_Nm
3.310000,61.389569,1.089801
3.320000,61.816038,1.140201
3.330000,62.243241,1.188388
3.340000,62.670972,1.234862
3.350000,63.099093,1.280067
3.360000,63.527520,1.324383
3.370000,63.956211,1.368114
3.380000,64.385148,1.411492
3.390000,64.814335,1.454681
3.400000,65.243785,1.091476
3.410000,65.673919,1.144933
3.420000,66.104968,1.195538
3.430000,66.536614,1.243855
3.440000,66.968629,1.290409
3.450000,67.400861,1.335667
3.460000,67.833215,1.380026
3.470000,68.265638,1.423805
3.480000,68.698110,1.467249
3.490000,69.130629,1.510530
3.500000,69.563204,1.146541
3.510000,69.996309,1.199855
3.520000,70.430215,1.250263
3.530000,70.864579,1.298351
3.540000,71.299153,1.344661
3.550000,71.733771,1.389674
3.560000,72.168327,1.433796
3.570000,72.602763,1.477354
3.580000,73.037051,1.520600
3.590000,73.471185,1.563712
3.600000,73.905173,1.198215
3.610000,74.339550,1.250936
3.620000,74.774637,1.300682
3.630000,75.210063,1.348064
3.640000,75.645562,1.393644
3.650000,76.080951,1.437914
3.660000,76.516115,1.481294
3.670000,76.950987,1.524119
3.680000,77.385534,1.566650
3.690000,77.819748,1.609072
3.700000,78.253632,1.245494
3.710000,78.687786,1.296943
3.720000,79.122581,1.345391
3.730000,79.557621,1.391466
3.740000,79.992622,1.435739
3.750000,80.427387,1.478712
3.760000,80.861792,1.520807
3.770000,81.295762,1.562368
3.780000,81.729261,1.603655
3.790000,82.162273,1.644861
3.800000,82.594802,1.286798
3.810000,83.027510,1.336277
3.820000,83.460818,1.382772
3.830000,83.894309,1.426921
3.840000,84.327683,1.469295
3.850000,84.760730,1.510396
3.860000,85.193315,1.550646
3.870000,85.625356,1.590386
3.880000,86.056811,1.629881
3.890000,86.487661,1.669323
3.900000,86.917903,1.319968
3.910000,87.348263,1.366742
3.920000,87.779211,1.410594
3.930000,88.210313,1.452165
3.940000,88.641249,1.492021
3.950000,89.071801,1.530652
3.960000,89.501821,1.568474
3.970000,89.931221,1.605824
3.980000,90.359950,1.642961
3.990000,90.787985,1.680080
4.000000,91.215318,1.340427
4.010000,91.642726,1.383718
4.020000,92.070724,1.424202
4.030000,92.498859,1.462510
4.040000,92.926800,1.499193
4.050000,93.354311,1.534728
4.060000,93.781236,1.569514
4.070000,94.207476,1.603879
4.080000,94.632971,1.638080
4.090000,95.057690,1.672307
4.100000,95.481621,1.351065
4.110000,95.905602,1.390082
4.120000,96.330212,1.426473
4.130000,96.754982,1.460849
4.140000,97.179566,1.493734
4.150000,97.603719,1.525579
4.160000,98.027271,1.556761
4.170000,98.450110,1.587591
4.180000,98.872169,1.618315
4.190000,99.293404,1.649118
4.200000,99.713796,1.350705
4.210000,100.134245,1.384709
4.220000,100.555392,1.416325
4.230000,100.976755,1.446131
4.240000,101.397979,1.474617
4.250000,101.818802,1.502197
4.260000,102.239044,1.529222
4.270000,102.658580,1.555979
4.280000,103.077327,1.582701
4.290000,103.495233,1.609562
4.300000,103.912263,1.338232
4.310000,104.329382,1.366510
4.320000,104.747292,1.392694
4.330000,105.165502,1.417322
4.340000,105.583644,1.440835
4.350000,106.001447,1.463608
4.360000,106.418711,1.485956
4.370000,106.835298,1.508140
4.380000,107.251110,1.530374
4.390000,107.666077,1.552824
4.400000,108.080153,1.310548
4.410000,108.494359,1.332425
4.420000,108.909456,1.352549
4.430000,109.324946,1.371405
4.440000,109.740448,1.389384
4.450000,110.155674,1.406815
4.460000,110.570410,1.423973
4.470000,110.984497,1.441093
