tick,phase,alpha,kp_shape,er_x,er_y,er_z,er_norm,er_sum,er_par_norm,er_perp_norm,perp_frac,ev_x,ev_y,ev_z,ev_norm,aff_norm,fb_app_x,fb_app_y,fb_app_z,fb_app_norm,fb_diag_x,fb_diag_y,fb_diag_z,fb_diag_norm,fb_delta_norm,eta_fb,ades_norm,achieved_norm,resid_norm,delivered_frac
6361,SS,400.0,3x3,-3.143084532e-05,4.702618239e-05,5.009562076e-06,5.678428990e-05,2.060489915e-05,1.189624407e-05,5.552418353e-05,0.977809,-3.030497484e-04,-7.959817451e-05,6.843958056e-05,3.207163787e-04,3.133691066e-02,-8.808103296e-04,-8.808103296e-04,-8.808103296e-04,1.525608243e-03,-1.003441781e-03,-9.771597636e-05,2.203474279e-04,1.031986826e-03,1.356769563e-03,0.046424,3.183871544e-02,2.170889679e-02,1.081092138e-02,0.674805
6362,SS,400.0,3x3,-3.778535573e-05,6.092434073e-05,6.351457927e-06,7.197117075e-05,2.949044293e-05,1.702631516e-05,6.992820612e-05,0.971614,-4.101615005e-04,-9.788564873e-05,9.342531388e-05,4.319054827e-04,3.133691066e-02,-1.155394177e-03,-1.155394177e-03,-1.155394177e-03,2.001201418e-03,-1.343840569e-03,-1.108839240e-04,2.993303154e-04,1.381231826e-03,1.800760134e-03,0.060027,3.200840965e-02,2.157220514e-02,1.119093882e-02,0.665988
6363,SS,400.0,3x3,-4.214189413e-05,7.396768455e-05,7.537667589e-06,8.546329055e-05,3.936345800e-05,2.272650307e-05,8.238616443e-05,0.963995,-5.205388116e-04,-1.147730084e-04,1.186923341e-04,5.460964823e-04,3.133691066e-02,-1.431768084e-03,-1.431768084e-03,-1.431768084e-03,2.479895066e-03,-1.688042117e-03,-1.224159716e-04,3.786900051e-04,1.734323493e-03,2.248963722e-03,0.073333,3.218540382e-02,2.143334940e-02,1.158775121e-02,0.656923
6364,SS,400.0,3x3,-4.453075149e-05,8.616735340e-05,8.570709865e-06,9.737174995e-05,5.020731178e-05,2.898720497e-05,9.295697734e-05,0.954661,-6.334637761e-04,-1.304763192e-04,1.441773352e-04,6.626368006e-04,3.133691066e-02,-1.708666345e-03,-1.708666345e-03,-1.708666345e-03,2.959496923e-03,-2.033983583e-03,-1.329268974e-04,4.582441351e-04,2.089197564e-03,2.698941856e-03,0.086292,3.236886323e-02,2.129290942e-02,1.199827669e-02,0.647665
6365,SS,400.0,3x3,-4.497525828e-05,9.753228178e-05,9.452318154e-06,1.078177451e-04,6.200934165e-05,3.580111009e-05,1.017002787e-04,0.943261,-7.483004853e-04,-1.452354349e-04,1.697904692e-04,7.809454214e-04,3.133691066e-02,-1.985208328e-03,-1.985208328e-03,-1.985208328e-03,3.438481687e-03,-2.379827231e-03,-1.431094594e-04,5.377283622e-04,2.444015089e-03,3.148692087e-03,0.098877,3.255810658e-02,2.115130421e-02,1.241992640e-02,0.638262
6366,SS,400.0,3x3,-4.349281221e-05,1.080692266e-04,1.018334523e-05,1.169370898e-04,7.475975963e-05,4.316256735e-05,1.086796934e-04,0.929386,-8.645301564e-04,-1.592556515e-04,1.954477842e-04,9.005412762e-04,3.133691066e-02,-2.260734792e-03,-2.260734792e-03,-2.260734792e-03,3.915707523e-03,-2.724068906e-03,-1.535592747e-04,6.168933882e-04,2.797264612e-03,3.596611059e-03,0.111076,3.275253441e-02,2.100883262e-02,1.285050238e-02,0.628754
6367,SS,400.0,3x3,-4.009620204e-05,1.177831239e-04,1.076386095e-05,1.248856693e-04,8.845078283e-05,5.106708328e-05,1.139674664e-04,0.912574,-9.817722691e-04,-1.727024351e-04,2.210778581e-04,1.021067255e-03,3.133691066e-02,-2.534838190e-03,-2.534838190e-03,-2.534838190e-03,4.390468533e-03,-3.065605413e-03,-1.647579335e-04,6.955251572e-04,3.147830518e-03,4.041564254e-03,0.122888,3.295167821e-02,2.086569388e-02,1.328825210e-02,0.619173
6368,SS,400.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.739958574e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,2.739958574e-02,1.921924746e-02,8.820422307e-03,0.694196
6369,SS,400.0,3x3,-9.717407192e-06,1.815601357e-05,1.835265823e-06,2.067455035e-05,1.027387220e-05,5.931622881e-06,1.980537508e-05,0.957959,-9.203195169e-05,-4.188267792e-05,1.609849129e-05,1.023875005e-04,2.739958574e-02,-3.226267983e-04,-3.226267983e-04,-3.226267983e-04,5.588060066e-04,-3.052480766e-04,-7.117999304e-05,5.380127135e-05,3.180213145e-04,4.530183302e-04,0.019987,2.757308408e-02,1.908801671e-02,9.184074530e-03,0.684147
6370,SS,400.0,3x3,-1.762308048e-05,3.541897435e-05,3.457299240e-06,3.971183234e-05,2.125319311e-05,1.227053676e-05,3.776855247e-05,0.951065,-1.801375778e-04,-6.466259702e-05,3.949211972e-05,1.954237087e-04,2.739958574e-02,-5.521645860e-04,-5.521645860e-04,-5.521645860e-04,9.563771171e-04,-5.932819749e-04,-8.773086799e-05,1.288482569e-04,6.134183566e-04,8.253289104e-04,0.033728,2.770272393e-02,1.895977854e-02,9.497317113e-03,0.675436
