t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
98.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
99.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
99.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
100.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
100.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
101.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
101.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
102.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
102.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
103.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
103.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
104.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
104.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
105.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
105.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
106.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
106.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
107.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
107.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
108.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
108.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
109.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
109.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
110.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
110.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
111.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
111.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
112.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
112.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
113.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
113.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
114.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
114.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
115.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
115.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
116.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
116.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
117.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
117.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
118.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
118.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
119.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
119.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
120.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
120.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
121.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
121.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
122.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
122.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
