t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
3.260000,3.072133,3.546382,0.356158,0.008119
3.270000,3.071226,3.575451,0.353973,0.007921
3.280000,3.070056,3.604802,0.351763,0.007722
3.290000,3.068623,3.634435,0.349527,0.007522
3.300000,3.066926,3.664352,0.347265,0.007320
3.310000,3.064967,3.694551,0.344978,0.007118
3.320000,3.062744,3.725033,0.342665,0.006915
3.330000,3.060258,3.755797,0.340327,0.006710
3.340000,3.057510,3.786844,0.337964,0.006505
3.350000,3.054499,3.818173,0.335576,0.006298
3.360000,3.051226,3.849784,0.333163,0.006091
3.370000,3.047691,3.881676,0.330725,0.005882
3.380000,3.043894,3.913848,0.328262,0.005672
3.390000,3.039836,3.946301,0.325775,0.005462
3.400000,3.035518,3.979033,0.323263,0.005250
3.410000,3.030941,4.012044,0.320727,0.005037
3.420000,3.026104,4.045332,0.318167,0.004823
3.430000,3.021009,4.078898,0.315583,0.004608
3.440000,3.015657,4.112740,0.312974,0.004392
3.450000,3.010048,4.146856,0.310342,0.004175
3.460000,3.004183,4.181247,0.307686,0.003956
3.470000,2.998064,4.215911,0.305006,0.003737
3.480000,2.991692,4.250846,0.302303,0.003517
3.490000,2.985067,4.286051,0.299577,0.003296
3.500000,2.978191,4.321525,0.296827,0.003073
3.510000,2.971066,4.357267,0.294054,0.002850
3.520000,2.963693,4.393275,0.291258,0.002625
3.530000,2.956073,4.429548,0.288440,0.002400
3.540000,2.948208,4.466084,0.285598,0.002174
3.550000,2.940100,4.502881,0.282734,0.001946
3.560000,2.931750,4.539937,0.279848,0.001718
3.570000,2.923161,4.577252,0.276939,0.001488
3.580000,2.914334,4.614823,0.274008,0.001258
3.590000,2.905271,4.652649,0.271055,0.001027
3.600000,2.895975,4.690727,0.268080,0.000885
3.610000,2.886447,4.729056,0.265084,0.000891
3.620000,2.876691,4.767633,0.264997,0.000898
3.630000,2.866708,4.806458,0.265472,0.000905
3.640000,2.856501,4.845527,0.265915,0.000911
3.650000,2.846073,4.884838,0.266327,0.000918
3.660000,2.835427,4.924390,0.266708,0.000925
3.670000,2.824565,4.964181,0.267057,0.000931
3.680000,2.813490,5.004207,0.267375,0.001098
3.690000,2.802206,5.044468,0.267661,0.001339
3.700000,2.790715,5.084960,0.267917,0.001581
3.710000,2.779022,5.125682,0.268141,0.001823
3.720000,2.767129,5.166631,0.268333,0.002067
3.730000,2.755040,5.207805,0.268495,0.002311
3.740000,2.742758,5.249201,0.268625,0.002556
3.750000,2.730288,5.290818,0.268725,0.002802
3.760000,2.717634,5.332652,0.268793,0.003049
3.770000,2.704800,5.374702,0.268830,0.003296
3.780000,2.691789,5.416964,0.268836,0.003545
3.790000,2.678606,5.459437,0.268812,0.003794
3.800000,2.665257,5.502118,0.268757,0.004044
3.810000,2.651745,5.545005,0.268671,0.004294
3.820000,2.638075,5.588094,0.268554,0.004546
3.830000,2.624252,5.631384,0.268408,0.004798
3.840000,2.610282,5.674872,0.268231,0.005051
3.850000,2.596170,5.718555,0.268024,0.005305
3.860000,2.581921,5.762431,0.267787,0.005560
