t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
9.240000,SS,1,1,0.654756595,0.033374635,2.554058811,-0.082519430,-0.057986942,-0.023910799,0.275124314,-0.003114083,0.001703052,-0.000459653,0.286678313,0.046864045,a,2,3,3,3
9.340000,SS,1,1,0.580025677,0.135616358,2.319432951,-0.108420623,-0.119060726,0.044387220,0.254912073,-0.003093814,0.001699581,-0.000485917,0.267228604,0.048362622,a,2,3,3,3
9.440000,SS,1,1,0.506464787,0.234784983,2.074965971,-0.131537695,-0.175193956,0.104422890,0.231968877,-0.003075111,0.001697729,-0.000510669,0.248169080,0.049530364,a,2,3,3,3
9.540000,SS,1,1,0.435467025,0.330336728,1.818567624,-0.153786050,-0.225794305,0.153637140,0.206665368,-0.003057604,0.001698343,-0.000533584,0.229554453,0.050382211,a,2,3,3,3
9.640000,SS,1,1,0.368113183,0.422448255,1.551166058,-0.175251050,-0.272858823,0.193773108,0.179504429,-0.003041425,0.001701716,-0.000554264,0.211437896,0.050905539,a,2,3,3,3
9.740000,SS,1,1,0.308229393,0.531910489,1.236239201,-0.199181290,-0.329033383,0.247810082,0.151318550,-0.003021668,0.001706766,-0.000572458,0.193870550,0.051080560,a,2,3,3,3
9.840000,SS,1,1,0.255826784,0.658291039,0.876904525,-0.224424764,-0.392493463,0.315497917,0.123677793,-0.002998770,0.001712932,-0.000588003,0.176901085,0.050901638,a,2,3,3,3
9.940000,SS,1,1,0.207372103,0.777309279,0.515408266,-0.246962785,-0.447706530,0.370828392,0.099964216,-0.002978477,0.001721117,-0.000600918,0.160575401,0.050378667,a,2,3,3,3
10.040000,SS,1,1,0.163879557,0.888706419,0.151365089,-0.268881957,-0.497666005,0.414603951,0.086889857,-0.002960564,0.001731928,-0.000610767,0.144936766,0.049513052,a,2,3,3,3
10.140000,SS,1,1,0.125560414,0.992543165,-0.214985180,-0.289197332,-0.542166651,0.448024072,0.092035578,-0.002945127,0.001745325,-0.000617426,0.130025772,0.048277690,a,2,3,3,3
10.240000,SS,1,1,0.096690883,1.120806837,-0.640751544,-0.314255933,-0.601353727,0.505984838,0.114878948,-0.002923941,0.001759440,-0.000620745,0.115879764,0.046659869,a,2,3,3,3
10.340000,SS,1,1,0.074214849,1.258360403,-1.095080105,-0.339321530,-0.661814980,0.571179569,0.148634760,-0.002901328,0.001774057,-0.000620751,0.102532636,0.044665584,a,2,3,3,3
10.440000,SS,1,1,0.055303477,1.383696465,-1.538134370,-0.361607921,-0.713845748,0.623726879,0.188217148,-0.002882774,0.001789802,-0.000617226,0.090015052,0.042305958,a,2,3,3,3
10.540000,SS,1,1,0.040258686,1.496737026,-1.969935009,-0.382058547,-0.759093375,0.664664683,0.230947817,-0.002868103,0.001806940,-0.000609919,0.078354736,0.039574861,a,2,3,3,3
10.640000,SS,1,1,0.028776511,1.597448713,-2.390360332,-0.400369136,-0.797186454,0.694605281,0.275356460,-0.002857279,0.001825383,-0.000598816,0.067576526,0.036453470,a,2,3,3,3
10.740000,SS,1,1,0.025206077,1.730886981,-2.881214983,-0.425378772,-0.855547761,0.762010913,0.320462888,-0.002837924,0.001842149,-0.000584184,0.057702266,0.032963621,a,2,3,3,3
10.840000,SS,1,1,0.023795860,1.863026185,-3.373450352,-0.447786896,-0.909478355,0.830710699,0.365658056,-0.002820072,0.001857547,-0.000565991,0.048751654,0.029161207,a,2,3,3,3
10.940000,SS,1,1,0.022969113,1.978083651,-3.835765642,-0.466245225,-0.954818153,0.888557896,0.410339529,-0.002807982,0.001871720,-0.000543813,0.040743776,0.025126650,a,2,3,3,3
11.040000,SS,1,1,0.022777492,2.076115299,-4.268098273,-0.482264349,-0.992687620,0.936613123,0.453904206,-0.002771943,0.001875821,-0.000516626,0.033698501,0.020987507,a,2,3,3,3
11.140000,SS,1,1,0.022675645,2.157105578,-4.669319985,-0.496118649,-1.023952844,0.977120555,0.495785739,-0.002682807,0.001860278,-0.000484294,0.027637748,0.017021086,a,2,3,3,3
11.240000,SS,1,1,0.041892508,2.262938675,-4.999948292,-0.524304865,-1.072674462,1.040660930,0.535264503,-0.002527708,0.001815718,-0.000448845,0.022584592,0.013885181,a,2,3,3,3
11.340000,SS,1,1,0.088331495,2.321132233,-4.999986188,-0.558395285,-1.091041495,1.033123200,0.571837934,-0.002334358,0.001742223,-0.000410047,0.018558038,0.012730978,a,2,3,3,3
11.440000,SS,1,1,0.128478645,2.367211571,-4.999990678,-0.582498532,-1.108291501,1.033034970,0.605322715,-0.002134444,0.001661992,-0.000368231,0.015555527,0.014518740,a,2,3,3,3
11.540000,SS,1,1,0.162116280,2.401276726,-4.999992384,-0.595259838,-1.122232461,1.044975236,0.635304723,-0.001939305,0.001575294,-0.000324583,0.013514864,0.018865994,a,2,3,3,3
11.640000,SS,1,1,0.191433879,2.424006991,-4.999993270,-0.603466755,-1.129984562,1.058520476,0.660936905,-0.001749134,0.001486051,-0.000278499,0.012277274,0.024772820,a,2,3,3,3
